w_geocode,segment,year,C000,CE01,CE02,CE03
060730001001000,S000,2023,58,26,11,21
060730001001001,S000,2023,1,0,0,1
060730001001002,S000,2023,5,1,2,2
060730001001003,S000,2023,4,1,1,2
060730001001005,S000,2023,3,0,1,2
060730001001011,S000,2023,1,0,0,1
060730001001012,S000,2023,1,0,1,0
060730001001013,S000,2023,13,1,5,7
060730001001016,S000,2023,4,1,1,2
060730001001017,S000,2023,3,0,0,3
060730001001019,S000,2023,4,0,2,2
060730001001020,S000,2023,3,1,1,1
060730001001021,S000,2023,13,3,0,10
060730001001022,S000,2023,14,2,2,10
060730001001023,S000,2023,12,0,0,12
060730001001024,S000,2023,5,0,2,3
060730001001026,S000,2023,3,0,0,3
060730001001027,S000,2023,3,0,0,3
060730001001029,S000,2023,2,2,0,0
060730001002000,S000,2023,4,1,2,1
060730001002001,S000,2023,2,2,0,0
060730001002003,S000,2023,1,0,0,1
060730001002005,S000,2023,2,0,0,2
060730001002006,S000,2023,1,0,0,1
060730001002007,S000,2023,61,8,24,29
060730001002011,S000,2023,5,2,0,3
060730001002014,S000,2023,2,0,0,2
060730001002016,S000,2023,1,0,1,0
060730001002021,S000,2023,1,0,0,1
060730001002023,S000,2023,2,0,0,2
060730001002025,S000,2023,155,31,67,57
060730001002028,S000,2023,4,2,2,0
060730001002031,S000,2023,2,0,0,2
060730001002033,S000,2023,2,0,0,2
060730001002034,S000,2023,2,2,0,0
060730001002035,S000,2023,1,0,0,1
060730001002037,S000,2023,8,2,2,4
060730001002039,S000,2023,2,0,2,0
060730001002042,S000,2023,7,0,0,7
060730002011000,S000,2023,74,15,12,47
060730002011002,S000,2023,2,2,0,0
060730002011004,S000,2023,1,0,1,0
060730002011006,S000,2023,18,8,5,5
060730002011007,S000,2023,12,2,2,8
060730002011008,S000,2023,10,1,1,8
060730002011011,S000,2023,11,3,3,5
060730002011013,S000,2023,22,6,9,7
060730002011014,S000,2023,5,3,1,1
060730002011015,S000,2023,27,8,13,6
060730002011016,S000,2023,34,0,18,16
060730002011019,S000,2023,1,0,0,1
060730002012000,S000,2023,25,3,5,17
060730002012001,S000,2023,49,8,11,30
060730002012002,S000,2023,3,0,1,2
060730002012004,S000,2023,292,111,122,59
060730002012005,S000,2023,1,1,0,0
060730002012006,S000,2023,7,1,0,6
060730002012008,S000,2023,10,0,3,7
060730002012009,S000,2023,1,1,0,0
060730002012011,S000,2023,3,2,1,0
060730002012012,S000,2023,29,13,11,5
060730002012013,S000,2023,44,11,23,10
060730002012014,S000,2023,372,46,58,268
060730002012015,S000,2023,105,11,37,57
060730002012016,S000,2023,60,12,26,22
060730002021000,S000,2023,8,0,2,6
060730002021001,S000,2023,1,0,0,1
060730002021002,S000,2023,12,1,2,9
060730002021003,S000,2023,1,0,1,0
060730002021004,S000,2023,5,3,2,0
060730002021005,S000,2023,189,66,66,57
060730002021006,S000,2023,2,0,0,2
060730002021007,S000,2023,13,2,9,2
060730002021009,S000,2023,4,2,2,0
060730002021010,S000,2023,39,3,20,16
060730002021011,S000,2023,32,2,12,18
060730002021012,S000,2023,45,9,18,18
060730002021013,S000,2023,8,1,5,2
060730002021014,S000,2023,41,7,27,7
060730002022000,S000,2023,98,13,27,58
060730002022001,S000,2023,7,0,2,5
060730002022003,S000,2023,2,0,0,2
060730002022005,S000,2023,6,5,1,0
060730002022006,S000,2023,1,0,0,1
060730002022007,S000,2023,30,12,11,7
060730002022009,S000,2023,6,1,3,2
060730002022011,S000,2023,3,0,0,3
060730002022013,S000,2023,3,0,3,0
060730002023000,S000,2023,2,0,2,0
060730002023001,S000,2023,21,4,8,9
060730002023002,S000,2023,78,13,19,46
060730002023004,S000,2023,50,16,18,16
060730002023006,S000,2023,6,0,3,3
060730002024000,S000,2023,4,0,3,1
060730002024001,S000,2023,3,1,2,0
060730002024004,S000,2023,4,1,3,0
060730002024005,S000,2023,9,5,1,3
060730002024006,S000,2023,1,0,0,1
060730002024007,S000,2023,160,23,43,94
060730002024009,S000,2023,1,0,0,1
060730002024010,S000,2023,1,0,0,1
060730002024011,S000,2023,2,1,0,1
060730003011000,S000,2023,28,2,6,20
060730003011001,S000,2023,19,5,7,7
060730003011002,S000,2023,4,0,0,4
060730003012000,S000,2023,59,15,32,12
060730003012001,S000,2023,57,15,16,26
060730003012002,S000,2023,39,12,4,23
060730003012003,S000,2023,60,4,8,48
060730003013000,S000,2023,32,1,12,19
060730003013001,S000,2023,6,1,3,2
060730003013002,S000,2023,11,4,1,6
060730003013003,S000,2023,3,0,1,2
060730003021000,S000,2023,103,27,50,26
060730003021001,S000,2023,296,57,88,151
060730003021002,S000,2023,38,2,1,35
060730003021003,S000,2023,148,50,50,48
060730003021004,S000,2023,196,48,87,61
060730003021005,S000,2023,116,27,57,32
060730003021006,S000,2023,33,5,14,14
060730003021007,S000,2023,2133,835,802,496
060730003021008,S000,2023,2,2,0,0
060730003021009,S000,2023,134,31,26,77
060730003021010,S000,2023,20,5,9,6
060730003021011,S000,2023,459,34,147,278
060730003021012,S000,2023,75,16,3,56
060730003021013,S000,2023,142,45,49,48
060730003021014,S000,2023,235,26,111,98
060730003021015,S000,2023,108,20,22,66
060730003021016,S000,2023,41,2,14,25
060730003021017,S000,2023,18,2,2,14
060730003021018,S000,2023,53,10,11,32
060730003022000,S000,2023,171,23,43,105
060730003022001,S000,2023,6,2,2,2
060730003022002,S000,2023,56,4,30,22
