date,ridership
2023-01-02,2075911
2023-01-09,10875488
2023-01-16,10676923
2023-01-23,11264184
2023-01-30,11538252
2023-02-06,11363669
2023-02-13,12003704
2023-02-20,11427844
2023-02-27,11405098
2023-03-06,11847009
2023-03-13,12177439
2023-03-20,12563677
2023-03-27,12219688
2023-04-03,12493628
2023-04-10,12133490
2023-04-17,12199006
2023-04-24,12795495
2023-05-01,12899344
2023-05-08,13128062
2023-05-15,12909532
2023-05-22,13296742
2023-05-29,11779209
2023-06-05,12604020
2023-06-12,12429502
2023-06-19,12260825
2023-06-26,12825636
2023-07-03,11685227
2023-07-10,10618574
2023-07-17,12113401
2023-07-24,12400797
2023-07-31,12219505
2023-08-07,11959978
2023-08-14,11915478
2023-08-21,11501037
2023-08-28,11314663
2023-09-04,10835943
2023-09-11,12592026
2023-09-18,13175009
2023-09-25,12977296
2023-10-02,12540479
2023-10-09,12903778
2023-10-16,13172118
2023-10-23,13457603
2023-10-30,13789567
2023-11-06,13982272
2023-11-13,13300257
2023-11-20,13413542
2023-11-27,10465750
2023-12-04,13788706
2023-12-11,14206764
2023-12-18,13994295
2023-12-25,11354588
2024-01-01,9409043
