Date,gas_price_dollars_per_gallon
2023-01-02,3.247
2023-01-03,3.247
2023-01-04,3.247
2023-01-05,3.247
2023-01-06,3.247
2023-01-07,3.247
2023-01-08,3.247
2023-01-09,3.231
2023-01-10,3.231
2023-01-11,3.231
2023-01-12,3.231
2023-01-13,3.231
2023-01-14,3.231
2023-01-15,3.231
2023-01-16,3.259
2023-01-17,3.259
2023-01-18,3.259
2023-01-19,3.259
2023-01-20,3.259
2023-01-21,3.259
2023-01-22,3.259
2023-01-23,3.367
2023-01-24,3.367
2023-01-25,3.367
2023-01-26,3.367
2023-01-27,3.367
2023-01-28,3.367
2023-01-29,3.367
2023-01-30,3.428
2023-01-31,3.428
2023-02-01,3.428
2023-02-02,3.428
2023-02-03,3.428
2023-02-04,3.428
2023-02-05,3.428
2023-02-06,3.377
2023-02-07,3.377
2023-02-08,3.377
2023-02-09,3.377
2023-02-10,3.377
2023-02-11,3.377
2023-02-12,3.377
2023-02-13,3.322
2023-02-14,3.322
2023-02-15,3.322
2023-02-16,3.322
2023-02-17,3.322
2023-02-18,3.322
2023-02-19,3.322
2023-02-20,3.265
2023-02-21,3.265
2023-02-22,3.265
2023-02-23,3.265
2023-02-24,3.265
2023-02-25,3.265
2023-02-26,3.265
2023-02-27,3.204
2023-02-28,3.204
2023-03-01,3.204
2023-03-02,3.204
2023-03-03,3.204
2023-03-04,3.204
2023-03-05,3.204
2023-03-06,3.249
2023-03-07,3.249
2023-03-08,3.249
2023-03-09,3.249
2023-03-10,3.249
2023-03-11,3.249
2023-03-12,3.249
2023-03-13,3.303
2023-03-14,3.303
2023-03-15,3.303
2023-03-16,3.303
2023-03-17,3.303
2023-03-18,3.303
2023-03-19,3.303
2023-03-20,3.269
2023-03-21,3.269
2023-03-22,3.269
2023-03-23,3.269
2023-03-24,3.269
2023-03-25,3.269
2023-03-26,3.269
2023-03-27,3.234
2023-03-28,3.234
2023-03-29,3.234
2023-03-30,3.234
2023-03-31,3.234
2023-04-01,3.234
2023-04-02,3.234
2023-04-03,3.322
2023-04-04,3.322
2023-04-05,3.322
2023-04-06,3.322
2023-04-07,3.322
2023-04-08,3.322
2023-04-09,3.322
2023-04-10,3.396
2023-04-11,3.396
2023-04-12,3.396
2023-04-13,3.396
2023-04-14,3.396
2023-04-15,3.396
2023-04-16,3.396
2023-04-17,3.475
2023-04-18,3.475
2023-04-19,3.475
2023-04-20,3.475
