station_complex_id,date,ridership,day_of_week,weekend
8,2023-01-01,8909,Sunday,True
8,2023-01-03,9291,Tuesday,False
8,2023-01-04,10697,Wednesday,False
8,2023-01-05,10391,Thursday,False
8,2023-01-06,8739,Friday,False
8,2023-01-07,6272,Saturday,True
8,2023-01-08,4848,Sunday,True
8,2023-01-09,8628,Monday,False
8,2023-01-10,9816,Tuesday,False
8,2023-01-11,9818,Wednesday,False
8,2023-01-12,9309,Thursday,False
8,2023-01-13,8332,Friday,False
8,2023-01-14,5767,Saturday,True
8,2023-01-15,4535,Sunday,True
8,2023-01-17,9215,Tuesday,False
8,2023-01-18,9856,Wednesday,False
8,2023-01-19,9247,Thursday,False
8,2023-01-20,8390,Friday,False
8,2023-01-21,5904,Saturday,True
8,2023-01-22,4116,Sunday,True
8,2023-01-23,8077,Monday,False
8,2023-01-24,9933,Tuesday,False
8,2023-01-25,9582,Wednesday,False
8,2023-01-26,9794,Thursday,False
8,2023-01-27,8482,Friday,False
8,2023-01-28,6452,Saturday,True
8,2023-01-29,4452,Sunday,True
8,2023-01-30,8674,Monday,False
8,2023-01-31,9608,Tuesday,False
8,2023-02-01,9570,Wednesday,False
8,2023-02-02,9527,Thursday,False
8,2023-02-03,7703,Friday,False
8,2023-02-04,4505,Saturday,True
8,2023-02-05,5237,Sunday,True
8,2023-02-06,9141,Monday,False
8,2023-02-07,9761,Tuesday,False
8,2023-02-08,9713,Wednesday,False
8,2023-02-09,9721,Thursday,False
8,2023-02-10,8984,Friday,False
8,2023-02-11,6911,Saturday,True
8,2023-02-12,4913,Sunday,True
8,2023-02-13,9075,Monday,False
8,2023-02-14,10397,Tuesday,False
8,2023-02-15,10162,Wednesday,False
8,2023-02-16,9570,Thursday,False
8,2023-02-17,7801,Friday,False
8,2023-02-18,7411,Saturday,True
8,2023-02-19,5995,Sunday,True
8,2023-02-21,9583,Tuesday,False
8,2023-02-22,9578,Wednesday,False
8,2023-02-23,9604,Thursday,False
8,2023-02-24,9036,Friday,False
8,2023-02-25,5701,Saturday,True
8,2023-02-26,5017,Sunday,True
8,2023-02-27,8864,Monday,False
8,2023-02-28,8831,Tuesday,False
8,2023-03-01,9384,Wednesday,False
8,2023-03-02,9684,Thursday,False
8,2023-03-03,8459,Friday,False
8,2023-03-04,5367,Saturday,True
8,2023-03-05,5017,Sunday,True
8,2023-03-06,9084,Monday,False
8,2023-03-07,10127,Tuesday,False
8,2023-03-08,10272,Wednesday,False
8,2023-03-09,10304,Thursday,False
8,2023-03-10,8641,Friday,False
8,2023-03-11,6250,Saturday,True
8,2023-03-12,5978,Sunday,True
8,2023-03-13,8621,Monday,False
8,2023-03-14,9585,Tuesday,False
8,2023-03-15,10830,Wednesday,False
8,2023-03-16,11306,Thursday,False
8,2023-03-17,11768,Friday,False
8,2023-03-18,6938,Saturday,True
8,2023-03-19,5465,Sunday,True
8,2023-03-20,9143,Monday,False
8,2023-03-21,10672,Tuesday,False
8,2023-03-22,10007,Wednesday,False
8,2023-03-23,9268,Thursday,False
8,2023-03-24,8898,Friday,False
8,2023-03-25,5248,Saturday,True
8,2023-03-26,8584,Sunday,True
8,2023-03-27,8936,Monday,False
8,2023-03-28,10202,Tuesday,False
8,2023-03-29,10073,Wednesday,False
8,2023-03-30,9955,Thursday,False
8,2023-03-31,8954,Friday,False
8,2023-04-01,7141,Saturday,True
8,2023-04-02,7734,Sunday,True
8,2023-04-03,9974,Monday,False
8,2023-04-04,11614,Tuesday,False
8,2023-04-05,10148,Wednesday,False
8,2023-04-06,11174,Thursday,False
8,2023-04-07,9765,Friday,False
8,2023-04-08,7632,Saturday,True
8,2023-04-09,7797,Sunday,True
8,2023-04-10,10758,Monday,False
8,2023-04-11,12042,Tuesday,False
8,2023-04-12,12465,Wednesday,False
8,2023-04-13,12694,Thursday,False
8,2023-04-14,11477,Friday,False
8,2023-04-15,7628,Saturday,True
8,2023-04-16,6613,Sunday,True
8,2023-04-17,9247,Monday,False
8,2023-04-18,10357,Tuesday,False
8,2023-04-19,10849,Wednesday,False
8,2023-04-20,11056,Thursday,False
8,2023-04-21,10911,Friday,False
8,2023-04-22,9112,Saturday,True
8,2023-04-23,7035,Sunday,True
8,2023-04-24,10162,Monday,False
8,2023-04-25,10997,Tuesday,False
8,2023-04-26,11015,Wednesday,False
