date,trip_count
2023-07-01,314080
2023-07-02,274058
2023-07-03,233414
2023-07-04,216449
2023-07-05,271539
2023-07-06,301257
2023-07-07,325653
2023-07-08,352524
2023-07-09,310120
2023-07-10,279030
2023-07-11,328352
2023-07-12,362164
2023-07-13,382799
2023-07-14,374277
2023-07-15,400405
2023-07-16,322110
2023-07-17,299770
2023-07-18,347578
2023-07-19,364617
2023-07-20,374731
2023-07-21,374108
2023-07-22,387135
2023-07-23,324250
2023-07-24,290466
2023-07-25,346910
2023-07-26,354481
2023-07-27,391032
2023-07-28,379501
2023-07-29,390919
2023-07-30,320084
2023-07-31,280555
