date,fhv,hvfhv,green_taxi,yellow_taxi
2023-07-01,2616,239033,843,71588
2023-07-02,2254,212022,825,58957
2023-07-03,2549,175119,929,54817
2023-07-04,2145,166620,673,47011
2023-07-05,3083,194790,1234,72432
2023-07-06,3382,215362,1209,81304
2023-07-07,3218,241669,1110,79656
2023-07-08,3087,268442,754,80241
2023-07-09,2394,239193,831,67702
2023-07-10,2883,200463,1219,74465
2023-07-11,3690,233127,1164,90371
2023-07-12,3792,258698,1270,98404
2023-07-13,3964,276419,1355,101061
2023-07-14,3553,281920,1224,87580
2023-07-15,2998,306459,1024,89924
2023-07-16,2676,250392,835,68207
2023-07-17,3013,216593,1258,78906
2023-07-18,3696,249394,1251,93237
2023-07-19,3741,261505,1224,98147
2023-07-20,3877,270275,1276,99303
2023-07-21,3543,281345,1080,88140
2023-07-22,3372,293720,772,89271
2023-07-23,2577,247118,822,73733
2023-07-24,3154,209560,1180,76572
2023-07-25,3896,250572,1246,91196
2023-07-26,3815,253381,1214,96071
2023-07-27,4106,284790,1326,100810
2023-07-28,3500,284533,1199,90269
2023-07-29,3502,299078,869,87470
2023-07-30,2673,242546,899,73966
2023-07-31,3151,203540,1168,72696
