date,trip_count
2023-07-01,239033
2023-07-02,212022
2023-07-03,175119
2023-07-04,166620
2023-07-05,194790
2023-07-06,215362
2023-07-07,241669
2023-07-08,268442
2023-07-09,239193
2023-07-10,200463
2023-07-11,233127
2023-07-12,258698
2023-07-13,276419
2023-07-14,281920
2023-07-15,306459
2023-07-16,250392
2023-07-17,216593
2023-07-18,249394
2023-07-19,261505
2023-07-20,270275
2023-07-21,281345
2023-07-22,293720
2023-07-23,247118
2023-07-24,209560
2023-07-25,250572
2023-07-26,253381
2023-07-27,284790
2023-07-28,284533
2023-07-29,299078
2023-07-30,242546
2023-07-31,203540
