date,trip_count
2023-01-01,711163
2023-01-02,479217
2023-01-03,573495
2023-01-04,599998
2023-01-05,629845
2023-01-06,721363
2023-01-07,763724
2023-01-08,646996
2023-01-09,579824
2023-01-10,622323
2023-01-11,661754
2023-01-12,734479
2023-01-13,781438
2023-01-14,867999
2023-01-15,779336
2023-01-16,599893
2023-01-17,649530
2023-01-18,672264
2023-01-19,800505
2023-01-20,797806
2023-01-21,873732
2023-01-22,753554
2023-01-23,654345
2023-01-24,667890
2023-01-25,782837
2023-01-26,759672
2023-01-27,823724
2023-01-28,864048
2023-01-29,716962
2023-01-30,606133
2023-01-31,672430
2023-02-01,704387
2023-02-02,746270
2023-02-03,926782
2023-02-04,910989
2023-02-05,704480
2023-02-06,631485
2023-02-07,680279
2023-02-08,700037
2023-02-09,746508
2023-02-10,832520
2023-02-11,888885
2023-02-12,788094
2023-02-13,648493
2023-02-14,739822
2023-02-15,714206
2023-02-16,741623
2023-02-17,849739
2023-02-18,849005
2023-02-19,736181
2023-02-20,587183
2023-02-21,651613
2023-02-22,716035
2023-02-23,760450
2023-02-24,850157
2023-02-25,933091
2023-02-26,749041
2023-02-27,671277
2023-02-28,715996
2023-03-01,743623
2023-03-02,776783
2023-03-03,882732
2023-03-04,929033
2023-03-05,779123
2023-03-06,658154
2023-03-07,741497
2023-03-08,764015
2023-03-09,794151
2023-03-10,895873
2023-03-11,901016
2023-03-12,752212
2023-03-13,729091
2023-03-14,753823
2023-03-15,778741
2023-03-16,800830
2023-03-17,857479
2023-03-18,929962
2023-03-19,780110
2023-03-20,650098
2023-03-21,672899
2023-03-22,703400
2023-03-23,757758
2023-03-24,816803
2023-03-25,914770
2023-03-26,730599
2023-03-27,672879
2023-03-28,673240
2023-03-29,717205
2023-03-30,781720
2023-03-31,832468
2023-04-01,902547
2023-04-02,762859
2023-04-03,653056
2023-04-04,687039
2023-04-05,741838
2023-04-06,701668
2023-04-07,764794
2023-04-08,802921
2023-04-09,709879
2023-04-10,593104
2023-04-11,634249
2023-04-12,686981
2023-04-13,756123
2023-04-14,850405
2023-04-15,885816
2023-04-16,732672
2023-04-17,643317
2023-04-18,697554
2023-04-19,724681
2023-04-20,778329
2023-04-21,802919
2023-04-22,896031
2023-04-23,756966
2023-04-24,642291
2023-04-25,685583
2023-04-26,737076
2023-04-27,786073
2023-04-28,909070
2023-04-29,1000688
2023-04-30,836491
2023-05-01,672613
2023-05-02,721868
2023-05-03,748319
2023-05-04,800402
2023-05-05,870153
2023-05-06,923277
2023-05-07,744885
2023-05-08,653749
2023-05-09,699067
2023-05-10,739687
2023-05-11,806893
2023-05-12,869264
2023-05-13,910158
2023-05-14,798992
2023-05-15,688340
2023-05-16,746768
2023-05-17,793849
2023-05-18,824531
2023-05-19,879138
2023-05-20,953191
2023-05-21,764662
2023-05-22,674885
2023-05-23,701641
2023-05-24,774464
2023-05-25,754978
2023-05-26,777787
2023-05-27,782189
2023-05-28,718116
2023-05-29,607484
2023-05-30,648723
2023-05-31,706199
2023-06-01,772399
2023-06-02,855096
2023-06-03,876260
2023-06-04,754354
2023-06-05,658032
2023-06-06,721901
2023-06-07,779476
2023-06-08,759219
2023-06-09,832599
2023-06-10,871071
2023-06-11,762902
2023-06-12,712124
2023-06-13,719904
2023-06-14,776233
2023-06-15,810181
2023-06-16,851656
2023-06-17,844824
2023-06-18,748342
2023-06-19,608920
2023-06-20,680605
2023-06-21,738695
2023-06-22,800609
2023-06-23,863193
2023-06-24,872851
2023-06-25,768336
2023-06-26,701991
2023-06-27,710848
2023-06-28,698371
2023-06-29,718061
2023-06-30,765986
2023-07-01,746151
2023-07-02,658603
2023-07-03,577156
2023-07-04,553055
2023-07-05,641432
2023-07-06,660551
2023-07-07,732792
2023-07-08,792351
2023-07-09,710445
2023-07-10,621057
2023-07-11,672911
2023-07-12,724139
2023-07-13,764207
2023-07-14,805918
2023-07-15,874308
2023-07-16,726307
2023-07-17,661497
2023-07-18,703716
2023-07-19,728911
2023-07-20,758322
2023-07-21,817102
2023-07-22,853012
2023-07-23,741549
2023-07-24,636074
2023-07-25,703607
2023-07-26,721626
2023-07-27,781856
2023-07-28,823909
2023-07-29,857328
2023-07-30,738073
2023-07-31,630294
2023-08-01,656338
2023-08-02,683360
2023-08-03,713931
2023-08-04,745064
2023-08-05,796532
2023-08-06,701115
2023-08-07,634725
2023-08-08,636956
2023-08-09,675269
2023-08-10,764105
2023-08-11,760680
2023-08-12,798453
2023-08-13,695998
2023-08-14,610107
2023-08-15,636266
2023-08-16,683954
2023-08-17,707622
2023-08-18,760319
2023-08-19,791564
2023-08-20,695258
2023-08-21,600585
2023-08-22,610007
2023-08-23,641814
2023-08-24,697444
2023-08-25,752816
2023-08-26,811076
2023-08-27,711826
2023-08-28,593703
2023-08-29,636652
2023-08-30,676987
2023-08-31,698230
2023-09-01,753445
2023-09-02,774364
2023-09-03,745414
2023-09-04,625587
2023-09-05,700733
2023-09-06,774897
2023-09-07,837305
2023-09-08,899304
2023-09-09,928023
2023-09-10,853772
2023-09-11,745321
2023-09-12,733598
2023-09-13,766344
2023-09-14,787925
2023-09-15,841603
2023-09-16,861691
2023-09-17,750500
2023-09-18,711048
2023-09-19,668711
2023-09-20,710182
2023-09-21,689108
2023-09-22,720579
2023-09-23,845366
2023-09-24,695492
2023-09-25,665482
2023-09-26,730083
2023-09-27,734309
2023-09-28,822719
2023-09-29,892211
2023-09-30,858360
2023-10-01,769431
2023-10-02,660302
2023-10-03,691309
2023-10-04,729000
2023-10-05,772322
2023-10-06,841347
2023-10-07,895152
2023-10-08,764438
2023-10-09,611226
2023-10-10,684867
2023-10-11,726189
2023-10-12,784775
2023-10-13,854767
2023-10-14,978752
2023-10-15,779685
2023-10-16,680487
2023-10-17,716925
2023-10-18,742691
2023-10-19,791509
2023-10-20,917343
2023-10-21,912661
2023-10-22,789124
2023-10-23,658919
2023-10-24,693132
2023-10-25,732761
2023-10-26,802097
2023-10-27,899322
2023-10-28,1009900
2023-10-29,907583
2023-10-30,671485
2023-10-31,701051
2023-11-01,778548
2023-11-02,785102
2023-11-03,839461
2023-11-04,875756
2023-11-05,744634
2023-11-06,665599
2023-11-07,676446
2023-11-08,753877
2023-11-09,793251
2023-11-10,861819
2023-11-11,914951
2023-11-12,800279
2023-11-13,683873
2023-11-14,722540
2023-11-15,760744
2023-11-16,811954
2023-11-17,857992
2023-11-18,943729
2023-11-19,784256
2023-11-20,681988
2023-11-21,765980
2023-11-22,721116
2023-11-23,674877
2023-11-24,636092
2023-11-25,694751
2023-11-26,671559
2023-11-27,658887
2023-11-28,738136
2023-11-29,766087
2023-11-30,809692
2023-12-01,947534
2023-12-02,919114
2023-12-03,847186
2023-12-04,694750
2023-12-05,752799
2023-12-06,819824
2023-12-07,880581
2023-12-08,920526
2023-12-09,949156
2023-12-10,852159
2023-12-11,747834
2023-12-12,774778
2023-12-13,829427
2023-12-14,889107
2023-12-15,952966
2023-12-16,957317
2023-12-17,825821
2023-12-18,742223
2023-12-19,768820
2023-12-20,782182
2023-12-21,801639
2023-12-22,834192
2023-12-23,709853
2023-12-24,653279
2023-12-25,499618
2023-12-26,511256
2023-12-27,583460
2023-12-28,626906
2023-12-29,683455
2023-12-30,681556
2023-12-31,758010
