transit_timestamp,transit_mode,station_complex_id,station_complex,borough,ridership,latitude,longitude
2025-03-18T02:00:00.000,subway,619,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",Manhattan,9.0,40.725914,-73.99466
2025-03-18T02:00:00.000,subway,612,"Lexington Av-53 St (E,M)/51 St (6)",Manhattan,27.0,40.757553,-73.969055
2025-03-18T04:00:00.000,subway,624,"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",Manhattan,3.0,40.71411,-74.00858
2025-03-18T05:00:00.000,subway,326,Franklin St (1),Manhattan,1.0,40.71932,-74.00689
2025-03-18T06:00:00.000,subway,143,Inwood-207 St (A),Manhattan,30.0,40.868073,-73.9199
2025-03-18T07:00:00.000,subway,436,Harlem-148 St (3),Manhattan,12.0,40.82388,-73.93647
2025-03-18T07:00:00.000,subway,305,137 St-City College (1),Manhattan,90.0,40.822006,-73.953674
2025-03-18T07:00:00.000,subway,405,23 St (6),Manhattan,22.0,40.739864,-73.9866
2025-03-18T08:00:00.000,subway,164,"34 St-Penn Station (A,C,E)",Manhattan,920.0,40.75229,-73.99339
2025-03-18T09:00:00.000,subway,119,1 Av (L),Manhattan,57.0,40.730953,-73.98163
2025-03-18T09:00:00.000,subway,225,"47-50 Sts-Rockefeller Ctr (B,D,F,M)",Manhattan,12.0,40.758663,-73.98133
2025-03-18T10:00:00.000,subway,103,"Bowery (J,Z)",Manhattan,6.0,40.72028,-73.99391
2025-03-18T10:00:00.000,subway,169,"Canal St (A,C,E)",Manhattan,30.0,40.720825,-74.005226
2025-03-18T11:00:00.000,subway,13,"28 St (R,W)",Manhattan,226.0,40.745495,-73.98869
2025-03-18T12:00:00.000,subway,414,"Bowling Green (4,5)",Manhattan,17.0,40.70482,-74.01407
2025-03-18T12:00:00.000,subway,628,"Fulton St (A,C,J,Z,2,3,4,5)",Manhattan,69.0,40.710373,-74.00657
2025-03-18T13:00:00.000,subway,225,"47-50 Sts-Rockefeller Ctr (B,D,F,M)",Manhattan,108.0,40.758663,-73.98133
2025-03-18T15:00:00.000,subway,393,116 St (6),Manhattan,2.0,40.79863,-73.94162
2025-03-18T15:00:00.000,subway,313,"72 St (1,2,3)",Manhattan,14.0,40.778454,-73.98197
2025-03-18T16:00:00.000,subway,119,1 Av (L),Manhattan,52.0,40.730953,-73.98163
2025-03-18T16:00:00.000,subway,628,"Fulton St (A,C,J,Z,2,3,4,5)",Manhattan,183.0,40.710373,-74.00657
2025-03-18T17:00:00.000,subway,607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",Manhattan,1043.0,40.749718,-73.98782
2025-03-18T17:00:00.000,subway,160,"72 St (C,B)",Manhattan,11.0,40.775593,-73.97641
2025-03-18T17:00:00.000,subway,393,116 St (6),Manhattan,12.0,40.79863,-73.94162
2025-03-18T17:00:00.000,subway,392,"125 St (4,5,6)",Manhattan,11.0,40.80414,-73.93759
2025-03-18T17:00:00.000,subway,119,1 Av (L),Manhattan,36.0,40.730953,-73.98163
2025-03-18T19:00:00.000,subway,165,"23 St (C,E)",Manhattan,10.0,40.745907,-73.99804
2025-03-18T20:00:00.000,subway,628,"Fulton St (A,C,J,Z,2,3,4,5)",Manhattan,45.0,40.710373,-74.00657
2025-03-18T20:00:00.000,subway,169,"Canal St (A,C,E)",Manhattan,40.0,40.720825,-74.005226
2025-03-18T20:00:00.000,subway,234,East Broadway (F),Manhattan,33.0,40.713715,-73.99017
2025-03-18T20:00:00.000,subway,164,"34 St-Penn Station (A,C,E)",Manhattan,136.0,40.75229,-73.99339
2025-03-18T20:00:00.000,subway,623,"Canal St (J,N,Q,R,W,Z,6)",Manhattan,1412.0,40.71953,-73.99989
2025-03-18T21:00:00.000,subway,619,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",Manhattan,63.0,40.725914,-73.99466
2025-03-18T21:00:00.000,subway,225,"47-50 Sts-Rockefeller Ctr (B,D,F,M)",Manhattan,29.0,40.758663,-73.98133
2025-03-18T23:00:00.000,subway,333,"Wall St (2,3)",Manhattan,21.0,40.70682,-74.0091
2025-03-18T01:00:00.000,subway,167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",Manhattan,29.0,40.732338,-74.000496
2025-03-18T02:00:00.000,subway,397,"86 St (4,5,6)",Manhattan,2.0,40.77949,-73.95559
2025-03-18T04:00:00.000,subway,225,"47-50 Sts-Rockefeller Ctr (B,D,F,M)",Manhattan,3.0,40.758663,-73.98133
2025-03-18T05:00:00.000,subway,118,3 Av (L),Manhattan,3.0,40.73285,-73.98612
2025-03-18T06:00:00.000,subway,623,"Canal St (J,N,Q,R,W,Z,6)",Manhattan,5.0,40.71953,-73.99989
2025-03-18T07:00:00.000,subway,619,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",Manhattan,15.0,40.725914,-73.99466
2025-03-18T08:00:00.000,subway,10,"49 St (N,R,W)",Manhattan,16.0,40.7599,-73.98414
2025-03-18T11:00:00.000,subway,312,79 St (1),Manhattan,7.0,40.783936,-73.97992
2025-03-18T14:00:00.000,subway,297,215 St (1),Manhattan,21.0,40.869446,-73.915276
2025-03-18T15:00:00.000,subway,299,Dyckman St (1),Manhattan,29.0,40.86053,-73.92554
2025-03-18T15:00:00.000,subway,224,57 St (F),Manhattan,74.0,40.763973,-73.97745
2025-03-18T17:00:00.000,subway,403,33 St (6),Manhattan,45.0,40.746082,-73.98208
2025-03-18T18:00:00.000,subway,312,79 St (1),Manhattan,72.0,40.783936,-73.97992
2025-03-18T18:00:00.000,subway,153,"125 St (A,C,B,D)",Manhattan,24.0,40.811108,-73.95235
2025-03-18T18:00:00.000,subway,609,"Bryant Pk (B,D,F,M)/5 Av (7)",Manhattan,423.0,40.754223,-73.981964
2025-03-18T18:00:00.000,subway,303,157 St (1),Manhattan,2.0,40.83404,-73.94489
2025-03-18T18:00:00.000,subway,605,"168 St (A,C,1)",Manhattan,770.0,40.840717,-73.93956
2025-03-18T20:00:00.000,subway,318,"34 St-Penn Station (1,2,3)",Manhattan,148.0,40.750374,-73.99106
2025-03-18T20:00:00.000,subway,319,28 St (1),Manhattan,13.0,40.747215,-73.99336
2025-03-18T20:00:00.000,subway,169,"Canal St (A,C,E)",Manhattan,31.0,40.720825,-74.005226
2025-03-18T20:00:00.000,subway,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",Manhattan,11.0,40.75731,-73.986755
2025-03-18T22:00:00.000,subway,156,"103 St (C,B)",Manhattan,3.0,40.796093,-73.96146
2025-03-18T22:00:00.000,subway,310,"96 St (1,2,3)",Manhattan,2.0,40.79392,-73.97232
2025-03-18T22:00:00.000,subway,147,175 St (A),Manhattan,42.0,40.84739,-73.939705
2025-03-18T23:00:00.000,subway,323,Christopher St-Sheridan Sq (1),Manhattan,5.0,40.73342,-74.00291
