Date,gas_price_dollars_per_gallon
2023-01-02,3.247
2023-01-09,3.231
2023-01-16,3.259
2023-01-23,3.367
2023-01-30,3.428
2023-02-06,3.377
2023-02-13,3.322
2023-02-20,3.265
2023-02-27,3.204
2023-03-06,3.249
2023-03-13,3.303
2023-03-20,3.269
2023-03-27,3.234
2023-04-03,3.322
2023-04-10,3.396
2023-04-17,3.475
2023-04-24,3.537
2023-05-01,3.518
2023-05-08,3.464
2023-05-15,3.45
2023-05-22,3.434
2023-05-29,3.519
2023-06-05,3.506
2023-06-12,3.489
2023-06-19,3.496
2023-06-26,3.495
2023-07-03,3.506
2023-07-10,3.511
2023-07-17,3.487
2023-07-24,3.537
2023-07-31,3.709
2023-08-07,3.764
2023-08-14,3.755
2023-08-21,3.755
2023-08-28,3.71
2023-09-04,3.687
2023-09-11,3.7
2023-09-18,3.767
2023-09-25,3.706
2023-10-02,3.659
2023-10-09,3.572
2023-10-16,3.52
2023-10-23,3.499
2023-10-30,3.455
2023-11-06,3.385
2023-11-13,3.328
2023-11-20,3.314
2023-11-27,3.308
2023-12-04,3.265
2023-12-11,3.21
2023-12-18,3.143
2023-12-25,3.125
