GTFS Stop ID,Stop Name,Borough,zone
127,Times Sq-42 St,M,Garment District
S17,Annadale,SI,Eltingville/Annadale/Prince's Bay
S01,Franklin Av,Bk,Clinton Hill
254,Junius St,Bk,Brownsville
M01,Middle Village-Metropolitan Av,Q,Ridgewood
726,34 St-Hudson Yards,M,West Chelsea/Hudson Yards
713,52 St,Q,Sunnyside
615,E 149 St,Bx,Longwood
M11,Myrtle Av,Bk,Stuyvesant Heights
F16,East Broadway,M,Two Bridges/Seward Park
F33,Avenue N,Bk,Borough Park
233,Hoyt St,Bk,Boerum Hill
M05,Forest Av,Q,Ridgewood
S30,Tompkinsville,SI,Stapleton
R43,77 St,Bk,Bay Ridge
A36,Chambers St,M,TriBeCa/Civic Center
604,Westchester Sq-E Tremont Av,Bx,Van Nest/Morris Park
D09,170 St,Bx,East Concourse/Concourse Village
629,59 St,M,Upper East Side South
219,Prospect Av,Bx,Melrose South
F39,Neptune Av,Bk,Coney Island
N09,Avenue U,Bk,Bensonhurst East
610,Morrison Av-Soundview,Bx,Soundview/Bruckner
F32,Bay Pkwy,Bk,Ocean Parkway South
R13,5 Av/59 St,M,Central Park
B22,25 Av,Bk,Bensonhurst East
622,116 St,M,East Harlem North
H14,Beach 105 St,Q,Rockaway Park
F05,Briarwood,Q,Kew Gardens
R19,23 St,M,Union Sq
R18,28 St,M,Midtown South
114,145 St,M,Hamilton Heights
A03,Dyckman St,M,Washington Heights North
M16,Marcy Av,Bk,South Williamsburg
720,Hunters Point Av,Q,Long Island City/Hunters Point
A16,116 St,M,Central Harlem
A41,Jay St-MetroTech,Bk,Downtown Brooklyn/MetroTech
R39,45 St,Bk,Sunset Park West
A52,Liberty Av,Bk,East New York
G34,Classon Av,Bk,Clinton Hill
D30,Cortelyou Rd,Bk,Flatbush/Ditmas Park
G20,36 St,Q,Sunnyside
418,Fulton St,M,Financial District North
212,Bronx Park East,Bx,East Tremont
503,Gun Hill Rd,Bx,Allerton/Pelham Gardens
B18,79 St,Bk,Bensonhurst West
G29,Metropolitan Av,Bk,Williamsburg (South Side)
G21,Queens Plaza,Q,Long Island City/Queens Plaza
406,Kingsbridge Rd,Bx,Van Cortlandt Village
R23,Canal St,M,SoHo
